Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
All,2.67905e+03,1.81566e+01,1.09992e+02,1.00187e+01,2.68003e+03,2.74575e+01,1.62931e+01,1.72387e+01,7.31403e+00,1.12643e+01,3.30087e+00,9.75475e-01,1.58124e+00,3.64126e-04,2.02658e-02
All,2.87208e+03,1.77622e+01,1.10040e+02,1.50455e+01,2.87117e+03,2.86671e+01,1.70712e+01,1.84682e+01,7.28102e+00,1.12643e+01,3.06633e+00,-9.08563e-01,1.27030e+00,1.06785e-03,6.09201e-02
All,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05668e+03,3.41992e+01,2.41679e+01,1.96615e+01,7.93983e+00,1.12643e+01,3.00005e+00,-7.54934e+00,1.10166e+00,9.12595e-02,5.01931e+00
All,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24222e+03,3.20856e+01,1.94082e+01,2.08549e+01,9.00080e+00,1.12643e+01,3.15906e+00,1.60039e+00,1.38480e+00,9.11924e-02,5.01558e+00
All,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42709e+03,3.25454e+01,1.84344e+01,2.20441e+01,9.76391e+00,1.12643e+01,3.34906e+00,-7.46735e+00,1.55066e+00,8.31581e-04,4.92372e-02
All,3.60999e+03,2.30194e+01,1.10022e+02,3.49715e+01,3.61443e+03,3.57319e+01,2.23408e+01,2.32491e+01,9.93874e+00,1.12643e+01,3.38702e+00,4.44445e+00,1.41804e+00,6.35642e-04,3.60622e-02
All,3.79346e+03,2.48112e+01,1.10028e+02,4.00246e+01,3.80442e+03,3.77744e+01,2.40327e+01,2.44712e+01,1.05596e+01,1.12643e+01,3.47991e+00,1.09688e+01,1.70458e+00,6.47494e-04,3.73401e-02
All,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99360e+03,4.10479e+01,2.57389e+01,2.56880e+01,1.46419e+01,1.12643e+01,4.61452e+00,3.15960e+00,2.26941e+00,3.64340e-04,2.18387e-02
All,4.19344e+03,2.58597e+01,1.09979e+02,5.00185e+01,4.18630e+03,4.76793e+01,2.76531e+01,2.69275e+01,2.44271e+01,1.12643e+01,7.74331e+00,-7.14081e+00,2.20990e+00,9.12455e-02,5.01851e+00
All,4.39462e+03,2.70247e+01,1.09955e+02,5.49711e+01,4.38105e+03,5.95201e+01,2.94089e+01,2.81802e+01,3.98744e+01,1.12643e+01,1.29145e+01,-1.35618e+01,2.09298e+00,1.81295e-01,9.97123e+00
All,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,1.77696e+03,2.93809e+01,2.00054e+01,1.14299e+01,1.30551e+01,1.12643e+01,5.92067e+00,8.90832e-01,3.22950e+00,1.73029e-03,1.03690e-01
All,2.01563e+03,1.26683e+01,1.19977e+02,-5.01302e+00,2.02039e+03,2.74674e+01,1.92675e+01,1.29958e+01,8.51390e+00,1.12643e+01,3.86820e+00,4.76204e+00,2.62490e+00,4.51768e-04,2.65048e-02
All,2.26278e+03,1.47795e+01,1.20023e+02,-3.11693e-02,2.25698e+03,2.76966e+01,1.88112e+01,1.45176e+01,7.98309e+00,1.12643e+01,3.44476e+00,-5.79387e+00,1.44835e+00,9.03432e-02,4.96888e+00
All,2.48900e+03,1.56502e+01,1.19974e+02,4.99728e+00,2.49028e+03,2.85604e+01,1.86472e+01,1.60182e+01,8.48422e+00,1.12643e+01,3.53988e+00,1.28226e+00,1.58858e+00,4.30190e-04,2.57842e-02
All,2.71879e+03,1.83473e+01,1.20016e+02,1.00131e+01,2.71796e+03,2.95882e+01,1.87871e+01,1.74827e+01,8.79506e+00,1.12643e+01,3.55319e+00,-8.30413e-01,1.59085e+00,9.06720e-02,4.98696e+00
All,2.93355e+03,1.89428e+01,1.19989e+02,1.50083e+01,2.94055e+03,3.07694e+01,1.91800e+01,1.89145e+01,9.06221e+00,1.12643e+01,3.48061e+00,7.00295e+00,1.65720e+00,2.38981e-04,1.38762e-02
All,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.15984e+03,3.22164e+01,1.98641e+01,2.03250e+01,9.55567e+00,1.12643e+01,3.46582e+00,9.01701e+00,1.66476e+00,9.09645e-02,5.00307e+00
All,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.37871e+03,3.38626e+01,2.07821e+01,2.17329e+01,1.01477e+01,1.12643e+01,3.54971e+00,7.67170e-01,1.68087e+00,1.66443e-01,9.98005e+00
All,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.59406e+03,3.54701e+01,2.18065e+01,2.31180e+01,1.04063e+01,1.12643e+01,3.60342e+00,6.41099e+00,1.61255e+00,9.08576e-02,4.99717e+00
All,3.80484e+03,2.50110e+01,1.19997e+02,3.50043e+01,3.81012e+03,3.70756e+01,2.30240e+01,2.45078e+01,1.02264e+01,1.12643e+01,3.52146e+00,5.27892e+00,1.55569e+00,9.10724e-05,5.12704e-03
All,4.02915e+03,2.40884e+01,1.19934e+02,4.00323e+01,4.02655e+03,3.90036e+01,2.43826e+01,2.58999e+01,1.07880e+01,1.12643e+01,3.56364e+00,-2.60223e+00,1.91072e+00,1.24445e-03,7.33230e-02
All,4.23291e+03,2.60298e+01,1.19910e+02,4.49975e+01,4.24223e+03,4.22909e+01,2.58401e+01,2.72873e+01,1.50654e+01,1.12643e+01,4.72876e+00,9.32501e+00,2.47934e+00,1.50670e-03,9.03960e-02
All,4.45708e+03,2.94108e+01,1.20042e+02,4.99645e+01,4.46413e+03,4.88372e+01,2.73985e+01,2.87146e+01,2.49223e+01,1.12643e+01,7.86519e+00,7.05119e+00,2.46187e+00,9.02665e-02,4.96468e+00
All,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.68974e+03,6.09484e+01,2.90397e+01,3.01658e+01,4.07590e+01,1.12643e+01,1.31626e+01,-1.25938e+01,2.26613e+00,1.82240e-01,1.00232e+01
All,1.96176e+03,1.21370e+01,1.30031e+02,-4.98415e+00,1.95480e+03,3.05972e+01,2.15706e+01,1.25738e+01,1.26305e+01,1.12643e+01,5.13636e+00,-6.96449e+00,4.14135e+00,5.85707e-04,3.44565e-02
All,2.23138e+03,1.41300e+01,1.30020e+02,2.79703e-02,2.22512e+03,2.96225e+01,2.11521e+01,1.43126e+01,9.19567e+00,1.12643e+01,3.71292e+00,-6.26019e+00,3.23201e+00,6.09964e-04,3.45064e-02
All,2.48438e+03,1.69785e+01,1.30025e+02,5.00765e+00,2.48695e+03,3.01675e+01,2.10854e+01,1.59968e+01,8.44852e+00,1.12643e+01,3.36519e+00,2.56718e+00,1.64741e+00,4.32126e-04,2.57119e-02
All,2.75020e+03,1.76923e+01,1.30011e+02,9.97645e+00,2.74242e+03,3.12640e+01,2.12738e+01,1.76400e+01,8.68518e+00,1.12643e+01,3.37284e+00,-7.78264e+00,1.55219e+00,4.63630e-04,2.58534e-02
All,2.99629e+03,1.90051e+01,1.29915e+02,1.50184e+01,2.99612e+03,3.26276e+01,2.16859e+01,1.92719e+01,9.17579e+00,1.12643e+01,3.43482e+00,-1.71007e-01,1.67615e+00,1.45053e-03,8.66628e-02
All,3.25715e+03,2.27961e+01,1.29945e+02,2.00445e+01,3.24555e+03,3.41366e+01,2.22746e+01,2.08763e+01,9.70265e+00,1.12643e+01,3.50706e+00,-1.15958e+01,1.74514e+00,1.22270e-03,7.07537e-02
All,3.48687e+03,2.31138e+01,1.29926e+02,2.49791e+01,3.48702e+03,3.56587e+01,2.29604e+01,2.24295e+01,1.00825e+01,1.12643e+01,3.56937e+00,1.49252e-01,1.70898e+00,1.29662e-03,7.72602e-02
All,3.72083e+03,2.51076e+01,1.29983e+02,2.99802e+01,3.73052e+03,3.72252e+01,2.38434e+01,2.39958e+01,1.01015e+01,1.12643e+01,3.53331e+00,9.68888e+00,1.71638e+00,4.62685e-04,2.63812e-02
All,3.97346e+03,2.51521e+01,1.29965e+02,3.50360e+01,3.97446e+03,3.88998e+01,2.49272e+01,2.55649e+01,9.99516e+00,1.12643e+01,3.38754e+00,1.00328e+00,1.57084e+00,8.75533e-04,5.01257e-02
