Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness
All,3.48687e+03,2.31138e+01,1.29926e+02,2.49791e+01,3.48515e+03,3.61005e+01,2.28833e+01,2.24673e+01,1.04152e+01,1.23372e+01,3.76017e+00,-1.71618e+00,1.55402e+00
All,3.72083e+03,2.51076e+01,1.29983e+02,2.99802e+01,3.72805e+03,3.77918e+01,2.38281e+01,2.40332e+01,1.07936e+01,1.23372e+01,3.75994e+00,7.22498e+00,1.55652e+00
All,3.97346e+03,2.51521e+01,1.29965e+02,3.50360e+01,3.97223e+03,3.96180e+01,2.50082e+01,2.56073e+01,1.10318e+01,1.23372e+01,3.81257e+00,-1.23041e+00,1.48149e+00
All,4.21979e+03,2.48527e+01,1.30066e+02,4.00581e+01,4.21769e+03,4.14261e+01,2.63191e+01,2.71897e+01,1.08627e+01,1.23372e+01,3.73436e+00,-2.10510e+00,1.41368e+00
All,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45581e+03,4.35183e+01,2.77103e+01,2.87248e+01,1.16041e+01,1.23372e+01,3.74283e+00,-8.02527e+00,1.88084e+00
All,4.70487e+03,3.22037e+01,1.30102e+02,4.99577e+01,4.70643e+03,4.72600e+01,2.90426e+01,3.03404e+01,1.70732e+01,1.23372e+01,5.07903e+00,1.56077e+00,2.63487e+00
All,4.95987e+03,3.05445e+01,1.30067e+02,5.50228e+01,4.96157e+03,5.56160e+01,3.08582e+01,3.19852e+01,2.97539e+01,1.23372e+01,8.96435e+00,1.69089e+00,2.59886e+00
All,2.21531e+03,1.42598e+01,1.39985e+02,3.40314e-03,2.22401e+03,4.33365e+01,3.30332e+01,1.43373e+01,1.93329e+01,1.23372e+01,7.43881e+00,8.70100e+00,5.72589e+00
All,2.50934e+03,1.64776e+01,1.40082e+02,5.02756e+00,2.51608e+03,3.38832e+01,2.35815e+01,1.62201e+01,1.24091e+01,1.23372e+01,4.76420e+00,6.74631e+00,4.46760e+00
All,2.80071e+03,1.82013e+01,1.39965e+02,9.96799e+00,2.79470e+03,3.40740e+01,2.38462e+01,1.80163e+01,1.00350e+01,1.23372e+01,3.85991e+00,-6.01622e+00,2.15299e+00
All,3.07392e+03,1.98220e+01,1.40047e+02,1.50284e+01,3.07520e+03,3.52956e+01,2.43153e+01,1.98246e+01,9.77575e+00,1.23372e+01,3.70905e+00,1.28032e+00,1.50376e+00
All,3.34365e+03,2.20115e+01,1.39897e+02,2.00095e+01,3.34381e+03,3.67480e+01,2.49111e+01,2.15562e+01,9.97776e+00,1.23372e+01,3.66322e+00,1.63455e-01,1.44305e+00
All,3.61271e+03,2.30166e+01,1.40002e+02,2.49652e+01,3.61038e+03,3.84956e+01,2.58419e+01,2.32746e+01,1.03403e+01,1.23372e+01,3.64228e+00,-2.33327e+00,1.40113e+00
All,3.87485e+03,2.70722e+01,1.40046e+02,2.99992e+01,3.87804e+03,3.40482e+01,1.58783e+01,2.50001e+01,1.07845e+01,1.23372e+01,3.69345e+00,3.19116e+00,1.36802e+00
All,4.14346e+03,2.64463e+01,1.40050e+02,3.50215e+01,4.14323e+03,4.21117e+01,2.77971e+01,2.67097e+01,1.10128e+01,1.23372e+01,3.71807e+00,-2.30411e-01,1.41417e+00
All,4.40222e+03,2.65499e+01,1.39945e+02,4.00083e+01,4.40434e+03,4.39484e+01,2.89226e+01,2.83929e+01,1.11126e+01,1.23372e+01,3.61748e+00,2.11651e+00,1.39032e+00
All,4.66926e+03,2.95774e+01,1.39930e+02,4.50111e+01,4.66916e+03,4.63486e+01,3.01517e+01,3.01001e+01,1.29032e+01,1.23372e+01,3.78898e+00,-1.05792e-01,2.31387e+00
All,4.94308e+03,3.24220e+01,1.40069e+02,4.99648e+01,4.93750e+03,5.08130e+01,3.15919e+01,3.18300e+01,1.96971e+01,1.23372e+01,5.53010e+00,-5.57671e+00,3.39859e+00
All,5.19754e+03,3.56190e+01,1.40042e+02,5.50569e+01,5.21327e+03,5.98676e+01,3.30382e+01,3.36078e+01,3.33916e+01,1.23372e+01,9.79416e+00,1.57230e+01,3.45363e+00
All,2.91814e+03,1.87776e+01,1.49997e+02,1.00218e+01,2.91347e+03,4.03129e+01,2.75052e+01,1.87819e+01,1.79671e+01,1.23372e+01,6.38807e+00,-4.67319e+00,3.19903e+00
